PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;D;V;FUENTE_ARCHIVO
28;79;11;12;28079011_12_8;2025;1;1;68.0;V;datos25.csv
28;79;11;20;28079011_20_59;2025;1;1;1.5;V;datos25.csv
28;79;11;30;28079011_30_59;2025;1;1;0.5;V;datos25.csv
28;79;11;35;28079011_35_59;2025;1;1;0.2;V;datos25.csv
28;79;11;7;28079011_7_8;2025;1;1;18.0;V;datos25.csv
28;79;11;8;28079011_8_8;2025;1;1;41.0;V;datos25.csv
28;79;16;12;28079016_12_8;2025;1;1;42.0;V;datos25.csv
28;79;16;14;28079016_14_6;2025;1;1;30.0;V;datos25.csv
28;79;16;7;28079016_7_8;2025;1;1;12.0;V;datos25.csv
28;79;16;8;28079016_8_8;2025;1;1;24.0;V;datos25.csv
28;79;17;12;28079017_12_8;2025;1;1;164.0;V;datos25.csv
28;79;17;14;28079017_14_6;2025;1;1;21.0;V;datos25.csv
28;79;17;7;28079017_7_8;2025;1;1;73.0;V;datos25.csv
28;79;17;8;28079017_8_8;2025;1;1;52.0;V;datos25.csv
28;79;18;10;28079018_10_47;2025;1;1;24.0;V;datos25.csv
28;79;18;12;28079018_12_8;2025;1;1;71.0;V;datos25.csv
28;79;18;14;28079018_14_6;2025;1;1;21.0;V;datos25.csv
28;79;18;20;28079018_20_59;2025;1;1;1.4;V;datos25.csv
28;79;18;30;28079018_30_59;2025;1;1;0.8;V;datos25.csv
28;79;18;35;28079018_35_59;2025;1;1;0.1;V;datos25.csv
28;79;18;7;28079018_7_8;2025;1;1;19.0;V;datos25.csv
28;79;18;8;28079018_8_8;2025;1;1;41.0;V;datos25.csv
28;79;18;9;28079018_9_M;2025;1;1;0.0;N;datos25.csv
28;79;24;10;28079024_10_47;2025;1;1;16.0;V;datos25.csv
28;79;24;12;28079024_12_8;2025;1;1;29.0;V;datos25.csv
28;79;24;14;28079024_14_6;2025;1;1;30.0;V;datos25.csv
28;79;24;7;28079024_7_8;2025;1;1;1.0;V;datos25.csv
28;79;24;8;28079024_8_8;2025;1;1;28.0;V;datos25.csv
28;79;24;9;28079024_9_47;2025;1;1;12.0;V;datos25.csv
28;79;27;12;28079027_12_8;2025;1;1;75.0;V;datos25.csv
28;79;27;14;28079027_14_6;2025;1;1;21.0;V;datos25.csv
28;79;27;7;28079027_7_8;2025;1;1;20.0;V;datos25.csv
28;79;27;8;28079027_8_8;2025;1;1;44.0;V;datos25.csv
28;79;35;1;28079035_1_38;2025;1;1;5.0;V;datos25.csv
28;79;35;12;28079035_12_8;2025;1;1;62.0;V;datos25.csv
28;79;35;14;28079035_14_6;2025;1;1;28.0;V;datos25.csv
28;79;35;6;28079035_6_48;2025;1;1;0.5;V;datos25.csv
28;79;35;7;28079035_7_8;2025;1;1;15.0;V;datos25.csv
28;79;35;8;28079035_8_8;2025;1;1;38.0;V;datos25.csv
28;79;36;1;28079036_1_38;2025;1;1;3.0;V;datos25.csv
28;79;36;10;28079036_10_47;2025;1;1;22.0;V;datos25.csv
28;79;36;12;28079036_12_8;2025;1;1;53.0;V;datos25.csv
28;79;36;7;28079036_7_8;2025;1;1;11.0;V;datos25.csv
28;79;36;8;28079036_8_8;2025;1;1;36.0;V;datos25.csv
28;79;38;10;28079038_10_47;2025;1;1;17.0;V;datos25.csv
28;79;38;12;28079038_12_8;2025;1;1;54.0;V;datos25.csv
28;79;38;20;28079038_20_59;2025;1;1;2.0;V;datos25.csv
28;79;38;30;28079038_30_59;2025;1;1;0.7;V;datos25.csv
28;79;38;35;28079038_35_59;2025;1;1;0.3;V;datos25.csv
28;79;38;7;28079038_7_8;2025;1;1;10.0;V;datos25.csv
28;79;38;8;28079038_8_8;2025;1;1;39.0;V;datos25.csv
28;79;38;9;28079038_9_47;2025;1;1;11.0;V;datos25.csv
28;79;39;12;28079039_12_8;2025;1;1;83.0;V;datos25.csv
28;79;39;14;28079039_14_6;2025;1;1;29.0;V;datos25.csv
28;79;39;7;28079039_7_8;2025;1;1;28.0;V;datos25.csv
28;79;39;8;28079039_8_8;2025;1;1;40.0;V;datos25.csv
28;79;4;10;28079004_10_A;2025;1;1;24.0;V;datos25.csv
28;79;4;12;28079004_12_8;2025;1;1;72.0;V;datos25.csv
28;79;4;6;28079004_6_48;2025;1;1;0.4;V;datos25.csv
28;79;4;7;28079004_7_8;2025;1;1;21.0;V;datos25.csv
28;79;4;8;28079004_8_8;2025;1;1;40.0;V;datos25.csv
28;79;4;9;28079004_9_A;2025;1;1;0.0;N;datos25.csv
28;79;40;10;28079040_10_47;2025;1;1;27.0;V;datos25.csv
28;79;40;12;28079040_12_8;2025;1;1;60.0;V;datos25.csv
28;79;40;7;28079040_7_8;2025;1;1;12.0;V;datos25.csv
28;79;40;8;28079040_8_8;2025;1;1;42.0;V;datos25.csv
28;79;47;10;28079047_10_47;2025;1;1;15.0;V;datos25.csv
28;79;47;12;28079047_12_8;2025;1;1;57.0;V;datos25.csv
28;79;47;7;28079047_7_8;2025;1;1;17.0;V;datos25.csv
28;79;47;8;28079047_8_8;2025;1;1;31.0;V;datos25.csv
